Contenu,Titre de la vidéo,Heure de publication de la vidéo,Durée,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Ont continué de regarder (%),Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
0r7zYzmytc0,صحاب داصية خرجو على السيطرة,"Apr 19, 2021",501,54.57,0:04:33,,422995,32123.462,1352,4485857,6.62
Vl5kz9_Orc8,!! لا للتنمر : صبعي مربع,"Mar 28, 2021",349,65.11,0:03:47,,402673,25415.3052,1179,4364315,6.27
O-JautNi9n4,MOROCCAN GAMERS | عندما يجتمع لي نووب ( Brawlhalla ),"Sep 24, 2016",795,,,,0,0,0,2,0
TpW_oxT_y1s,!! شوفو هاد الناس باش مزوجين,"Dec 12, 2019",361,55.64,0:03:20,,324871,18127.0642,4293,3030224,8.18
73Si_I2oCjI,أغرب أسماء مغربية تقدر تسمعها فحياتك (القضيب) #2,"May 14, 2017",409,,,,0,0,0,10,0
otyIrSwGagM,THE WAY TO A WOMAN'S HEART |  أسهل طريق إلى قلب المرأة (Emily is Away),"Oct 1, 2016",420,10.12,0:00:42,,2,0.0236,0,37,0
lrdHISo6e1Y,قراءة تعليقاتكم | READING YOUR COMMENTS,"Jul 1, 2018",346,95.52,0:05:30,,1,0.0918,0,98,0
0AuWwZZYPzM,هاد الناس عايشين ف 2004 ؟,"Feb 26, 2023",553,56.99,0:05:15,,430793,37710.6215,929,4034824,7.68
Ysn8DK7VoKI,MINECRAFT MAROC | THE DROPPER MAP | الانتحار الفاشل,"Sep 6, 2016",544,9.45,0:00:51,,2,0.0285,0,1,0
zUqnocLvhV8,😂😂سوق الميمز #3 : الخليجيين هاربييين,"Jun 17, 2022",551,61.11,0:05:36,,439515,41107.2475,1466,4670201,6.63
apkKfYDdJqw,STREAM HIGHLIGHTS,"Oct 10, 2019",284,19.79,0:00:56,,102167,1595.2837,133,1164780,6.87
j1vtXW06xko,ميمكنش مضحكش #13 : غنمووووت ميمكنش ههههه,"Sep 14, 2021",482,63.23,0:05:04,,590696,50009.675,4354,6210937,6.62
ZR22h2JBeKg,TIK TOK اللقطة المحدوفة من,"May 22, 2020",612,53.37,0:05:26,,841741,76374.3303,9818,7719281,8.01
r9hmHRabVZM,The mystery of parkour was discovered now must watch it !!,"Jun 30, 2016",141,80.33,0:01:53,,2,0.0629,0,1,0
_iXzH-hGiF0,خمسة د المليون فالشهر و كطالب الناس يعاونوها ؟,"Aug 14, 2021",762,47.53,0:06:02,,889776,89515.4628,5357,11668635,5.18
UMj68uzzIes,FREFAYER ( BlueStacks 5) | قتلنا الأعداء الأشرار,"May 19, 2021",409,43.15,0:02:56,,182372,8940.0024,358,2345783,5.04
ivhhB1gcBi0,منين جات الفكرة ديال أغرب الاسماء ؟ | (BIMO JAWBKOM (Q & A,"May 27, 2017",373,18.06,0:01:07,,1,0.0187,0,2,0
mBaX3E93uUE,ميمكنش مضحكش #18 : حزق عليها و زاد,"Nov 6, 2021",616,62.23,0:06:23,,311836,33202.3464,806,3109655,6.73
VKezV1zW2NY,(الجزء الثاني ) أصعب لغة فالعالم 🇲🇦😂,"Aug 2, 2022",510,51.75,0:04:23,,1232324,90351.401,5509,11998025,7.31
pzMvOGVQDos,😂😂سوق الميمز #2 :فاش كتمشي تخطب و كيجريو عليك,"Apr 28, 2022",573,61.54,0:06:03,,580901,58682.1946,1425,4996434,7.93
qQVvgz5j0YM,أجي تشوف أغرب حلاق فالعالم,"Apr 16, 2020",805,45.6,0:06:07,,619576,63181.2402,3538,8044148,5.5
YZPRkhS__Ts,PLUG & PLAY MAROC | إلا فهمتو شي حاجه ها وجهي (Darija),"Oct 16, 2016",473,13.72,0:01:04,,3,0.0541,0,16,0
et92eEK8UCo,STORY TIME / العيد لكبير,"Aug 6, 2020",601,48.34,0:04:50,,671183,54163.1863,2417,5003510,9.32
773IiTJ-0_4,Moroccan vines - When you trying to be cool with your F@#*/ car,"Feb 26, 2016",18,113.24,0:00:20,,3,0.017,0,0,
mbcuKisxk-c,BLOCKADE MAROC | نايضة قرطاص العود (Darija),"Oct 15, 2016",350,,,,0,0,0,25,0
bqRFB58I28M,RAP BATTLE : معركة الجبابرة,"Nov 21, 2021",493,56.38,0:04:37,,402518,31076.6833,2358,4373949,6.17
E_rS4Rt8IG8,"TIKTOK MAROC ,   يا ربي السلامة 2021 داخلة سخونة","Jan 19, 2021",584,55.39,0:05:23,,886883,79695.1477,6617,8216109,7.63
d739dDGbbfM,7 1,,1676,39.39,0:11:00,,2,0.3668,0,0,
gJfarL4mg0c,عزيزي دافيد (الحلقة 4) و الأخيرة : لحقيقة ديال دافيد,"Apr 4, 2023",789,56.3,0:07:26,,499109,61834.4223,960,4557510,7.42
WKzvlsUPNKY,TIKTOK = CRINGE,"Apr 19, 2022",541,62.49,0:05:38,,582550,54700.7491,2439,5624761,7.21
oPGc4036GX8,ها علاش Gaming فالمغرب معمرو يزيد لقدام.,"Oct 3, 2016",134,,,,0,0,0,0,
VuE4aVTl6C0,شفتو هادشي ؟,"Dec 16, 2019",425,61.08,0:04:19,,370440,26712.2505,1864,4073681,6.89
7H6K16Q-eRg,Parkour Taza Morroco 2016,"Feb 7, 2016",117,56.87,0:01:06,,14,0.2588,0,106,3.77
Lx-ZuxHqwoc,دروس في الحب مع إحساس,"Apr 26, 2020",850,51.88,0:07:20,,742791,90988.4042,7166,8916508,5.86
eY3SIRMyydE,ميمكنش مضحكش #9 : كتمشي لكوميسارية تشكي بالڭارديان ، كتخرج خاصك تخلص الڭارديان,"Jul 5, 2021",615,61.33,0:06:17,,414545,43436.1996,2962,4151687,6.67
m9rvj0x15Vw,"TIKTOK MAROC #2 , فقط في المغرب","Oct 13, 2020",656,54.42,0:05:57,,1698182,168403.5624,17492,22013203,5.71
mNKEL14G2xg,الشاب العربي كيحترم ليهونش ؟ ولكلاب الرومية,"Mar 27, 2022",786,42.61,0:05:48,,458524,44392.783,1438,4351035,7.07
2OjuOnAJoPI,ميمكنش مضحكش,"Jun 11, 2020",818,47.52,0:06:28,,1803618,194740.8259,29130,23564008,5.19
oU4FdRAjppo,قصتي مع البرلمان بطريقة كوميدية ، قصة واقعية,"Jun 6, 2016",54,53.77,0:00:29,,2,0.0161,0,0,
DE-8sy_Romk,فيديو تافه,"Mar 25, 2020",604,52.2,0:05:15,,595700,52166.4439,2541,6263827,7.09
EyfRWAU7ioM,!! 😂😂😂ميمكنش مضحكش #22 : زاهية شموش,"Mar 7, 2022",621,66.76,0:06:54,,317042,36509.8439,859,3116548,7.03
SdlDwimoP5g,الأب المثالي / THE PERFECT DAD,"Nov 23, 2019",258,63.01,0:02:42,,371774,16788.1931,1780,3395026,7.77
jl1jKAlwDFI,(كيف أربح المال من الأنترنت (1000$ كل شهر,"Feb 23, 2020",608,62.74,0:06:21,,172612,18288.7088,1162,2952012,4.33
J1RR71Nw2ko,MINECRAFT MAROC SURVIVALE EP #0 | WWE صوبنا حلبة المصارعة,"Apr 30, 2017",678,,,,0,0,0,4,0
mJcEjU7Xbh8,AKHIR VIDEO F INSTAGRAM,"Dec 19, 2025",710,51.41,0:06:05,,404595,41025.7426,1114,4139842,7.69
VRF2MbTFKXU,ميمكنش مضحكش #10 : فاش كتكون كتفرج فالألمبياد و كيدخل باك على غفلة ؟,"Aug 6, 2021",611,58.74,0:05:58,,767490,76509.2713,5067,7929332,6.77
KMXYGAh71Vo,ميمكنش مضحكش #29 : القرعة ديال الشامبو لي كَطِيح فالدوش 😂😂,,767,0.06,0:00:00,,1,0.0001,0,0,
Bcjti-jVaxU,بيمو الفلاح #1 : غنصَوبْ المَزرعَة السعِيدَة,"Feb 24, 2026",386,51.04,0:03:17,,211702,11586.7374,382,2250059,6.88
ijOY-ai021M,السمسار فالمغرب 🤣 .. الحقيقة لي ما كيعرفها حتى واحد💀!,"Nov 15, 2025",848,50.76,0:07:11,,592461,71008.7625,1913,5992064,7.11
1eMbO5ZkWnw,نصائح للخصيتين للأولاد فقط !! حتغير حياتكم شوفوها | Testicles Hacks That Every boy Should know,"Jun 25, 2018",422,,,,0,0,0,363,0
Bc0Ew8RbIcE,ZAHIA FREE FAYER ( BLUESTACKS 5),"Feb 15, 2021",319,46.19,0:02:27,,231020,9456.4641,913,2215487,6.91
JklzuKUm6UM,DAY 5 IN JAPAN : لبسوني لقفطان ديالهوم 😂😂,"Feb 11, 2024",661,54.09,0:05:57,,369194,36665.0238,778,4486137,5.66
aQOZZg0pkXw,!! 😂😂 ميمكنش مضحكش #28 : إملأ الفراغ بما يناسب,,1153,0.26,0:00:02,,3,0.0025,0,0,
VVGUmqyn1Ms,DAY 2 IN JAPAN 🇯🇵 : جربنا الكبسولات + متحف الأضواء,"Feb 6, 2024",1129,47.21,0:08:52,,644547,95419.909,1993,6275068,6.99
b2wmTm-f-6k,😂😂😂 بغا يسكت ليها القلب,"Jan 1, 2022",622,55.62,0:05:45,,717994,69004.5013,6081,8150751,6.08
2-9K3JTGnvI,MOTIVATION GAME | لعبة تحفيزية,"May 18, 2017",391,,,,0,0,0,9,0
dU-VzCaPbA4,ميمكنش مضحكش #17 : دايزة عواشر فسكويد كايم,"Oct 13, 2021",518,61.49,0:05:18,,622537,55078.8632,17104,6037883,7.11
1L2MEe6XIKI,GANG BEASTS MAROC | الطايح كثر من الواقف و الواقف عيان,"May 3, 2016",255,64.33,0:02:44,,1,0.0456,0,33,0
8PDsBU6ZeYM,HORROR GAMES ZAPPING #1,"Feb 18, 2017",294,,,,0,0,0,1,0
_N3ixGmEgUc,MOROCCAN DOCTORS BE LIKE | الاطباء في المغرب يا سلام ( Surgeon Simulator ),"Sep 22, 2016",636,4.58,0:00:29,,1,0.0081,0,1,0
wGC82UnyLNE,الواليدة ديالي 6 سنين وهي غابرة… وانا ما لاحظتش,"Nov 28, 2025",987,50.33,0:08:16,,529449,73060.7321,1196,5861852,6.27
e6Hag6EeasE,أول وآخر مرة نجرب هاد الرياضة ⛷️,"Feb 13, 2024",803,52.69,0:07:03,,369314,43407.7739,713,4789557,5.17
tpNvq4gclF4,%الفيديو الذي لن يغير حياتك ، مجرب 100,"Feb 21, 2022",848,41.01,0:05:47,,468576,45259.3805,1394,4656801,6.51
 -LiayQYLPig,!! 😂😂😂 ميمكنش مضحكش #23 : سبيدرمان رجوع لله,"Aug 28, 2022",557,58.79,0:05:27,,468713,42630.3551,1291,4277822,7.8
QeEbZpblvA4,POURQUOI FACEBOOK ? ها علاش فايسبوك,"Apr 8, 2016",226,20.38,0:00:46,,5,0.064,0,1,0
huitI3CmBKQ,ميمكنش مضحكش #29 : القرعة ديال الشامبو لي كَطِيح فالدوش 😂😂,"Feb 28, 2023",593,58.22,0:05:49,,436985,42469.7162,780,3514043,8.76
e4NsMZ8B_yE,!! 😂😂😂ميمكنش مضحكش #21 : حكيمي فاش غيقول لميسي خليني نتيري كوفرات,"Jan 26, 2022",662,59.76,0:06:35,,703163,77269.151,2451,7165020,6.56
DDVprX5t5d4,"TIKTOK MAROC , نتحداك تفهم شي حاجة","Sep 9, 2020",577,56.05,0:05:23,,865597,77755.2289,8392,8879208,6.61
